                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2136,                0.71484,                 1.2688,                0.93086,                 0.9101,                0.93562,                0.55369,                 1.4117,                0.69984,                 1.2612,              0.0052829,              0.0052829,              0.0052829
                     84,                 1.1862,                0.70134,                 1.2572,                0.92968,                0.90971,                0.93256,                0.55575,                  1.411,                0.69874,                 1.2613,              0.0052247,              0.0052247,              0.0052247
                     85,                 1.2013,                0.70521,                 1.2622,                0.92762,                0.91029,                0.93359,                0.55649,                 1.4099,                0.69915,                 1.2602,              0.0051665,              0.0051665,              0.0051665
                     86,                 1.1839,                0.70298,                 1.2547,                0.92864,                0.91121,                0.93159,                0.55601,                  1.411,                0.69893,                 1.2598,              0.0051082,              0.0051082,              0.0051082
                     87,                 1.1838,                 0.6922,                 1.2534,                0.93072,                 0.9101,                0.93132,                0.55581,                 1.4118,                0.69839,                 1.2589,                0.00505,                0.00505,                0.00505
                     88,                 1.1714,                0.69347,                 1.2429,                0.93053,                 0.9101,                0.93169,                0.55699,                 1.4116,                0.69868,                  1.259,              0.0049918,              0.0049918,              0.0049918
                     89,                  1.183,                0.69184,                 1.2507,                0.93074,                0.90976,                0.93119,                0.55573,                  1.412,                0.69703,                 1.2588,              0.0049335,              0.0049335,              0.0049335
                     90,                  1.173,                0.69367,                 1.2463,                0.93293,                0.91087,                0.93205,                 0.5561,                 1.4121,                0.69646,                 1.2585,              0.0048753,              0.0048753,              0.0048753
                     91,                 1.1733,                0.69521,                 1.2545,                0.93292,                0.91075,                0.93234,                0.55604,                 1.4131,                0.69677,                 1.2592,              0.0048171,              0.0048171,              0.0048171
                     92,                 1.1762,                0.68354,                  1.252,                0.93349,                 0.9101,                0.93246,                0.55579,                 1.4139,                 0.6963,                 1.2599,              0.0047588,              0.0047588,              0.0047588
                     93,                 1.1741,                0.69062,                 1.2482,                0.93068,                0.90899,                0.93341,                0.55696,                 1.4137,                0.69634,                 1.2598,              0.0047006,              0.0047006,              0.0047006
                     94,                 1.1659,                0.67932,                 1.2408,                0.92854,                0.90857,                0.93086,                0.55727,                 1.4131,                0.69656,                  1.259,              0.0046424,              0.0046424,              0.0046424
                     95,                 1.1562,                0.67827,                 1.2337,                0.92757,                0.90788,                0.93157,                0.55725,                 1.4126,                0.69773,                 1.2588,              0.0045841,              0.0045841,              0.0045841
                     96,                 1.1614,                0.67557,                 1.2302,                 0.9296,                0.90788,                0.93175,                0.55593,                 1.4131,                 0.6962,                  1.259,              0.0045259,              0.0045259,              0.0045259
                     97,                 1.1577,                0.67137,                 1.2331,                0.92745,                0.90804,                0.93125,                0.55542,                 1.4132,                 0.6947,                 1.2585,              0.0044676,              0.0044676,              0.0044676
                     98,                 1.1528,                0.66826,                 1.2296,                0.92744,                0.90795,                0.93143,                 0.5549,                 1.4132,                0.69417,                  1.259,              0.0044094,              0.0044094,              0.0044094
                     99,                 1.1496,                0.66855,                 1.2333,                0.92845,                0.90735,                0.93152,                0.55569,                 1.4134,                0.69407,                 1.2588,              0.0043512,              0.0043512,              0.0043512
                    100,                 1.1535,                0.66611,                   1.23,                0.93285,                0.90971,                0.93281,                 0.5551,                 1.4143,                0.69396,                 1.2588,              0.0042929,              0.0042929,              0.0042929
                    101,                 1.1475,                  0.675,                 1.2266,                0.93066,                0.90875,                0.93037,                0.55542,                 1.4137,                0.69431,                 1.2585,              0.0042347,              0.0042347,              0.0042347
                    102,                 1.1464,                0.66918,                 1.2322,                0.93067,                0.90876,                0.93094,                0.55577,                 1.4139,                0.69543,                 1.2592,              0.0041765,              0.0041765,              0.0041765
                    103,                 1.1383,                 0.6683,                 1.2273,                0.93293,                0.91081,                0.93252,                0.55648,                 1.4136,                0.69467,                 1.2588,              0.0041182,              0.0041182,              0.0041182
                    104,                 1.1405,                0.66224,                 1.2244,                0.93293,                0.91084,                0.93194,                0.55569,                 1.4121,                0.69427,                 1.2563,                0.00406,                0.00406,                0.00406
                    105,                  1.135,                0.65694,                 1.2237,                0.93523,                 0.9135,                0.93313,                0.55582,                 1.4113,                0.69416,                 1.2561,              0.0040018,              0.0040018,              0.0040018
                    106,                 1.1435,                0.65953,                 1.2254,                0.93405,                 0.9117,                0.93359,                0.55625,                 1.4111,                0.69396,                 1.2558,              0.0039435,              0.0039435,              0.0039435
                    107,                 1.1137,                0.63753,                 1.2102,                0.93416,                0.91329,                0.93342,                0.55553,                  1.403,                0.69032,                 1.2556,              0.0038853,              0.0038853,              0.0038853
                    108,                 1.1327,                0.65382,                 1.2208,                0.93399,                0.91085,                0.93328,                0.55592,                 1.4027,                0.68939,                 1.2556,              0.0038271,              0.0038271,              0.0038271
                    109,                 1.1357,                0.66399,                 1.2265,                0.93401,                0.91115,                0.93344,                0.55559,                 1.4028,                 0.6886,                 1.2559,              0.0037688,              0.0037688,              0.0037688
                    110,                 1.1327,                0.65305,                 1.2233,                0.93359,                0.91121,                0.93344,                0.55544,                 1.4029,                0.68769,                 1.2558,              0.0037106,              0.0037106,              0.0037106
                    111,                 1.1254,                0.64937,                 1.2172,                0.93479,                0.91232,                0.93453,                 0.5563,                 1.4017,                 0.6881,                 1.2557,              0.0036524,              0.0036524,              0.0036524
                    112,                 1.1281,                0.65531,                 1.2214,                0.93297,                 0.9115,                0.93305,                0.55512,                 1.4017,                0.68735,                 1.2559,              0.0035941,              0.0035941,              0.0035941
                    113,                 1.1179,                0.64769,                 1.2164,                0.93292,                0.91066,                0.93285,                0.55521,                 1.4016,                0.68746,                  1.256,              0.0035359,              0.0035359,              0.0035359
                    114,                 1.1163,                0.64883,                 1.2114,                0.92859,                0.90931,                0.93229,                0.55522,                 1.4012,                0.68693,                 1.2555,              0.0034776,              0.0034776,              0.0034776
                    115,                 1.1094,                0.64439,                 1.2109,                0.92858,                0.90912,                0.93203,                0.55574,                 1.4006,                0.68758,                 1.2558,              0.0034194,              0.0034194,              0.0034194
                    116,                 1.1107,                0.63758,                 1.2128,                0.92878,                 0.9101,                0.93197,                0.55692,                 1.4015,                0.68719,                 1.2574,              0.0033612,              0.0033612,              0.0033612
                    117,                 1.1113,                0.64147,                 1.2121,                0.92945,                 0.9101,                0.93212,                0.55723,                 1.4011,                0.68689,                 1.2573,              0.0033029,              0.0033029,              0.0033029
                    118,                 1.1091,                0.64444,                 1.2089,                0.92953,                 0.9101,                0.93228,                0.55702,                 1.4015,                0.68679,                 1.2578,              0.0032447,              0.0032447,              0.0032447
                    119,                 1.0945,                0.63689,                    1.2,                 0.9308,                0.90899,                0.93199,                0.55745,                 1.4011,                0.68632,                 1.2575,              0.0031865,              0.0031865,              0.0031865
                    120,                  1.087,                0.62839,                  1.196,                 0.9319,                0.90899,                0.93217,                0.55742,                 1.4009,                 0.6866,                 1.2578,              0.0031282,              0.0031282,              0.0031282
                    121,                 1.1016,                0.63016,                 1.2014,                0.93296,                 0.9101,                0.93246,                0.55717,                 1.4001,                0.68608,                 1.2562,                0.00307,                0.00307,                0.00307
                    122,                 1.0884,                0.62132,                 1.1985,                0.93212,                0.90899,                 0.9318,                0.55775,                 1.3997,                0.68666,                  1.256,              0.0030118,              0.0030118,              0.0030118
                    123,                 1.0884,                0.62615,                 1.1923,                0.92995,                0.90677,                0.93023,                0.55777,                 1.3992,                0.68635,                 1.2558,              0.0029535,              0.0029535,              0.0029535
                    124,                 1.0808,                0.62295,                 1.1904,                0.93079,                0.90788,                0.93005,                0.55774,                 1.3986,                0.68591,                 1.2553,              0.0028953,              0.0028953,              0.0028953
                    125,                 1.0869,                0.61673,                  1.192,                0.92955,                0.90677,                0.92871,                0.55697,                 1.3984,                0.68603,                 1.2555,              0.0028371,              0.0028371,              0.0028371
                    126,                 1.0681,                0.61334,                  1.178,                0.92961,                0.90677,                0.92901,                0.55766,                 1.3987,                0.68626,                 1.2555,              0.0027788,              0.0027788,              0.0027788
                    127,                 1.0753,                0.61561,                 1.1866,                0.92982,                0.90677,                0.92993,                0.55748,                 1.3988,                0.68689,                 1.2558,              0.0027206,              0.0027206,              0.0027206
                    128,                 1.0749,                0.61968,                 1.1881,                 0.9308,                0.90677,                0.92984,                 0.5576,                 1.3989,                0.68647,                 1.2559,              0.0026624,              0.0026624,              0.0026624
                    129,                 1.0676,                0.61088,                 1.1843,                0.92847,                0.90566,                0.92904,                0.55656,                 1.3988,                0.68571,                  1.256,              0.0026041,              0.0026041,              0.0026041
                    130,                  1.064,                0.60349,                 1.1824,                0.92857,                0.90566,                0.92927,                0.55715,                  1.399,                0.68536,                 1.2561,              0.0025459,              0.0025459,              0.0025459
                    131,                 1.0705,                0.61074,                 1.1805,                0.93113,                0.90677,                0.92881,                0.55711,                 1.3991,                 0.6858,                 1.2563,              0.0024876,              0.0024876,              0.0024876
                    132,                 1.0673,                0.60697,                 1.1785,                0.92965,                0.90566,                0.92956,                0.55755,                 1.3987,                0.68551,                 1.2562,              0.0024294,              0.0024294,              0.0024294
                    133,                 1.0636,                0.61018,                 1.1764,                0.93089,                0.90677,                0.93028,                0.55775,                 1.3988,                0.68538,                 1.2565,              0.0023712,              0.0023712,              0.0023712
                    134,                 1.0541,                0.60487,                 1.1723,                0.93095,                0.90677,                0.93035,                0.55761,                 1.3984,                0.68548,                 1.2563,              0.0023129,              0.0023129,              0.0023129
                    135,                 1.0545,                0.60132,                 1.1717,                0.93065,                0.90677,                0.93024,                0.55713,                 1.3984,                0.68604,                 1.2566,              0.0022547,              0.0022547,              0.0022547
                    136,                 1.0651,                0.60625,                 1.1778,                0.92853,                0.90566,                0.93036,                0.55778,                 1.3986,                0.68612,                 1.2563,              0.0021965,              0.0021965,              0.0021965
